City,Colors Reported,Shape Reported,State,Time,sightings,Year
Walla Walla,GREEN,FIREBALL,WA,1998-10-04 04:37:00,15,1998
Aberdeen,,FIREBALL,WA,1998-10-04 04:42:00,15,1998
Yamhill,BLUE,FIREBALL,OR,1998-10-04 04:45:00,15,1998
Columbia River { mile marker 230},GREEN,FIREBALL,WA,1998-10-04 05:00:00,15,1998
Charleston,,FIREBALL,SC,1998-10-04 21:00:00,15,1998
Charleston,BLUE,FIREBALL,SC,1998-10-04 21:00:00,15,1998
Charleston,RED ORANGE GREEN,FIREBALL,SC,1998-10-04 21:00:00,15,1998
Gold Canyon,,OVAL,AZ,1998-10-04 21:00:00,15,1998
James Island,,FIREBALL,SC,1998-10-04 21:00:00,15,1998
Savannah,,FIREBALL,GA,1998-10-04 21:00:00,15,1998
Charleston,,FLASH,SC,1998-10-04 21:10:00,15,1998
Goat Island,,FIREBALL,SC,1998-10-04 21:15:00,15,1998
Belmont,,CIRCLE,NY,1998-10-04 23:00:00,15,1998
Dana Point,GREEN,FIREBALL,CA,1998-10-05 20:00:00,4,1998
Houston,,FORMATION,TX,1998-10-05 20:55:00,4,1998
Mission Hills,,SPHERE,CA,1998-10-05 21:30:00,4,1998
Newhall,GREEN,SPHERE,CA,1998-10-05 23:29:00,4,1998
Vass,GREEN,CIRCLE,NC,1998-10-06 02:00:00,4,1998
Denver,RED,FIREBALL,CO,1998-10-06 19:05:00,4,1998
Bellevue,,LIGHT,WA,1998-10-06 20:05:00,4,1998
Cream Ridge,,SpaceShip,NJ,1998-10-06 20:45:00,4,1998
Miami,YELLOW,LIGHT,FL,1998-10-07 02:30:00,2,1998
Gonzales,,SpaceShip,LA,1998-10-07 22:05:00,2,1998
Barrington,,DIAMOND,NJ,1998-10-08 19:00:00,4,1998
Fort Collins,,OTHER,CO,1998-10-08 21:00:00,4,1998
Austin,,SpaceShip,TX,1998-10-08 21:12:00,4,1998
Sonora,RED,LIGHT,CA,1998-10-08 22:33:00,4,1998
Noblesville,,VARIOUS,IN,1998-10-09 16:00:00,4,1998
Pikeville,RED,DISK,NC,1998-10-09 17:50:00,4,1998
Oakland,,FIREBALL,CA,1998-10-09 19:40:00,4,1998
Richmond,,DISK,KY,1998-10-09 22:00:00,4,1998
Hollywood,,VARIOUS,CA,1998-10-10 02:30:00,9,1998
Phoenix,GREEN,FIREBALL,AZ,1998-10-10 03:30:00,9,1998
Elgin,,CYLINDER,IL,1998-10-10 13:15:00,9,1998
Las Vegas,,CIGAR,NV,1998-10-10 17:30:00,9,1998
Las Vegas,,CIRCLE,NV,1998-10-10 17:30:00,9,1998
NYC,,SpaceShip,NY,1998-10-10 20:30:00,9,1998
Spokane,,SpaceShip,WA,1998-10-10 20:30:00,9,1998
Mooresville,,LIGHT,NC,1998-10-10 20:50:00,9,1998
Delano,,FIREBALL,TN,1998-10-10 23:50:00,9,1998
Montara,,OTHER,CA,1998-10-11 02:15:00,6,1998
Mount Carmel,,LIGHT,TN,1998-10-11 14:30:00,6,1998
Highland,RED YELLOW GREEN,SPHERE,IN,1998-10-11 20:30:00,6,1998
Highland,RED YELLOW GREEN,SPHERE,IN,1998-10-11 20:30:00,6,1998
Bar Harbor,GREEN,SPHERE,ME,1998-10-11 22:40:00,6,1998
Elk Grove,BLUE,FIREBALL,CA,1998-10-11 22:45:00,6,1998
Miami Twp.,,OTHER,OH,1998-10-12 02:00:00,5,1998
Lincoln,,EGG,NE,1998-10-12 04:00:00,5,1998
Murray,RED,LIGHT,UT,1998-10-12 07:00:00,5,1998
Asheville,RED,FIREBALL,NC,1998-10-12 19:00:00,5,1998
Asheville,,LIGHT,NC,1998-10-12 19:00:00,5,1998
Heron State Park,,VARIOUS,NM,1998-10-13 02:30:00,2,1998
Painesville twp,,OVAL,OH,1998-10-13 06:00:00,2,1998
Otis,,OTHER,OR,1998-10-14 19:55:00,3,1998
Overton,,FIREBALL,NV,1998-10-14 19:55:00,3,1998
Tucson,,OVAL,AZ,1998-10-14 22:00:00,3,1998
Azuza,,SpaceShip,CA,1998-10-15 00:00:00,19,1998
Red Bank,,FLASH,SC,1998-10-15 01:00:00,19,1998
Round Rock,ORANGE,EGG,TX,1998-10-15 01:30:00,19,1998
Houston,,FIREBALL,TX,1998-10-15 06:35:00,19,1998
Knoxville,,CYLINDER,TN,1998-10-15 14:00:00,19,1998
New Albany,,VARIOUS,IN,1998-10-15 15:30:00,19,1998
Winston-Salem,,SPHERE,NC,1998-10-15 16:01:00,19,1998
Glenwood,,DISK,AR,1998-10-15 18:00:00,19,1998
Warwick,,OTHER,RI,1998-10-15 18:00:00,19,1998
Asheville,,LIGHT,NC,1998-10-15 19:00:00,19,1998
Tyson's Corner,BLUE,FIREBALL,VA,1998-10-15 19:48:00,19,1998
Fort Lawn,ORANGE,LIGHT,SC,1998-10-15 20:00:00,19,1998
Enterprise,,SpaceShip,AL,1998-10-15 21:00:00,19,1998
Laguna Niguel,ORANGE,LIGHT,CA,1998-10-15 21:15:00,19,1998
Westlake,,LIGHT,OH,1998-10-15 21:15:00,19,1998
Hinton,,LIGHT,WV,1998-10-15 22:00:00,19,1998
Dublin,,DIAMOND,IN,1998-10-15 22:30:00,19,1998
Port Washington,,SpaceShip,WI,1998-10-15 22:35:00,19,1998
Dallas,,DISK,TX,1998-10-15 23:00:00,19,1998
Ronan,,DISK,MT,1998-10-16 00:00:00,9,1998
Sacramento,,SpaceShip,CA,1998-10-16 11:40:00,9,1998
Las Vegas,,CONE,NV,1998-10-16 12:30:00,9,1998
Baker,,VARIOUS,CA,1998-10-16 16:30:00,9,1998
San Francisco,,LIGHT,CA,1998-10-16 19:00:00,9,1998
Breckenridge,RED ORANGE,OTHER,TX,1998-10-16 20:00:00,9,1998
Middletown,,LIGHT,CT,1998-10-16 20:00:00,9,1998
Salem,,LIGHT,OR,1998-10-16 21:30:00,9,1998
Carbondale,GREEN,SPHERE,IL,1998-10-16 21:55:00,9,1998
Oxnard,GREEN,FLASH,CA,1998-10-17 01:30:00,6,1998
Lake Stevens,,LIGHT,WA,1998-10-17 03:38:00,6,1998
Bridgewater,,OTHER,SD,1998-10-17 11:30:00,6,1998
Apple Valley,,SPHERE,CA,1998-10-17 15:00:00,6,1998
Pensacola Beach,,FIREBALL,FL,1998-10-17 16:00:00,6,1998
Duluth,,OTHER,GA,1998-10-17 19:00:00,6,1998
The Dalles,,SPHERE,OR,1998-10-18 00:01:00,6,1998
Bettendorf,,SPHERE,IA,1998-10-18 04:30:00,6,1998
Jacksonville,,LIGHT,IL,1998-10-18 09:30:00,6,1998
Germantown,,LIGHT,TN,1998-10-18 18:00:00,6,1998
Sandy Valley,,LIGHT,NE,1998-10-18 18:00:00,6,1998
Portland,GREEN,FIREBALL,OR,1998-10-18 23:54:00,6,1998
Vernal,,LIGHT,UT,1998-10-19 00:34:00,10,1998
Las Vegas,GREEN,SPHERE,NV,1998-10-19 01:30:00,10,1998
Vancouver,GREEN,LIGHT,WA,1998-10-19 12:42:00,10,1998
Big Arm,,DISK,MT,1998-10-19 16:30:00,10,1998
Virginia Beach,,FIREBALL,VA,1998-10-19 18:00:00,10,1998
Defiance,BLUE,SpaceShip,OH,1998-10-19 21:30:00,10,1998
Deweyville,GREEN,SPHERE,UT,1998-10-19 21:35:00,10,1998
Georgia,RED,SpaceShip,GA,1998-10-19 21:45:00,10,1998
Tampa,,CIRCLE,FL,1998-10-19 21:45:00,10,1998
Antwerp,,SpaceShip,OH,1998-10-19 22:30:00,10,1998
Bowling Green,,LIGHT,KY,1998-10-20 00:00:00,7,1998
Lewiston,,FORMATION,ME,1998-10-20 02:00:00,7,1998
Corunna,,VARIOUS,MI,1998-10-20 11:30:00,7,1998
Spokane,,SPHERE,WA,1998-10-20 17:30:00,7,1998
Moorpark,,OVAL,CA,1998-10-20 18:00:00,7,1998
Avon,,CHEVRON,NC,1998-10-20 20:30:00,7,1998
Huntsville,,SpaceShip,AL,1998-10-20 22:00:00,7,1998
Campbell,,OTHER,CA,1998-10-21 01:30:00,2,1998
Columbia,ORANGE,FORMATION,TN,1998-10-21 22:42:00,2,1998
Silverlake,,LIGHT,WA,1998-10-22 02:40:00,5,1998
Rupert,,SPHERE,ID,1998-10-22 03:30:00,5,1998
Cincy,,LIGHT,OH,1998-10-22 18:30:00,5,1998
Kenton,,DISK,OH,1998-10-22 18:40:00,5,1998
Newtown Square,,OVAL,PA,1998-10-22 23:40:00,5,1998
Chicago,,TEARDROP,IL,1998-10-23 00:00:00,8,1998
Cave Creek,,LIGHT,AZ,1998-10-23 16:30:00,8,1998
New Berlin,,DISK,WI,1998-10-23 17:00:00,8,1998
Marysville,BLUE,FIREBALL,WA,1998-10-23 18:00:00,8,1998
Seattle,GREEN BLUE,FIREBALL,WA,1998-10-23 18:04:00,8,1998
Vancouver,,OTHER,WA,1998-10-23 18:30:00,8,1998
Humeston,,CIRCLE,IA,1998-10-23 19:00:00,8,1998
Alexandria,,FIREBALL,LA,1998-10-23 21:45:00,8,1998
Westcliff,,CIRCLE,CO,1998-10-24 13:30:00,6,1998
Wilmington,,LIGHT,NC,1998-10-24 17:00:00,6,1998
Wilmington,,SPHERE,NC,1998-10-24 17:00:00,6,1998
Milwaukee,ORANGE,LIGHT,WI,1998-10-24 20:15:00,6,1998
Tacoma,,LIGHT,WA,1998-10-24 22:00:00,6,1998
Delray Beach,,SpaceShip,FL,1998-10-24 23:15:00,6,1998
Pell City,,SPHERE,AL,1998-10-25 00:00:00,6,1998
Denver,,LIGHT,CO,1998-10-25 16:20:00,6,1998
State College,,DISK,PA,1998-10-25 18:30:00,6,1998
Vallejo,,SpaceShip,CA,1998-10-25 19:30:00,6,1998
Perrine,,FORMATION,FL,1998-10-25 20:25:00,6,1998
Pocatello,,LIGHT,ID,1998-10-25 21:20:00,6,1998
Spencer,GREEN BLUE,FIREBALL,IA,1998-10-26 00:00:00,15,1998
Vancouver,,FIREBALL,WA,1998-10-26 00:00:00,15,1998
Marina del Rey,,LIGHT,CA,1998-10-26 00:30:00,15,1998
Kaufman,,LIGHT,TX,1998-10-26 03:23:00,15,1998
Pewaukee,GREEN BLUE,FIREBALL,WI,1998-10-26 04:50:00,15,1998
Cleburne,RED,LIGHT,TX,1998-10-26 07:00:00,15,1998
Redding,,CIRCLE,CA,1998-10-26 17:00:00,15,1998
Redding,,OVAL,CA,1998-10-26 17:00:00,15,1998
,RED,FIREBALL,WA,1998-10-26 17:58:00,15,1998
Corfu,,SpaceShip,NY,1998-10-26 18:05:00,15,1998
Seattle,,FIREBALL,WA,1998-10-26 18:15:00,15,1998
Tumwater,BLUE,FIREBALL,WA,1998-10-26 18:18:00,15,1998
La Veta,ORANGE,SpaceShip,CO,1998-10-26 19:23:00,15,1998
Roseville,RED,FIREBALL,CA,1998-10-26 21:50:00,15,1998
Scottsdale,,OTHER,AZ,1998-10-26 23:14:00,15,1998
Newport,,CIRCLE,TN,1998-10-27 03:32:00,1,1998
Pageland,,LIGHT,SC,1998-10-28 01:00:00,10,1998
Spokane,,FIREBALL,WA,1998-10-28 01:38:00,10,1998
Polson,,DISK,MT,1998-10-28 03:00:00,10,1998
Detroit,,CIRCLE,MI,1998-10-28 10:30:00,10,1998
Louisville,,FORMATION,KY,1998-10-28 20:00:00,10,1998
observer enroute on MN hwy 61 north,GREEN,SPHERE,MN,1998-10-28 20:35:00,10,1998
Big Rapids,,FIREBALL,MI,1998-10-28 21:30:00,10,1998
Amarillo,YELLOW,CHEVRON,TX,1998-10-28 22:00:00,10,1998
Sherwood,,OTHER,AR,1998-10-28 23:10:00,10,1998
Chicago,RED BLUE,OVAL,IL,1998-10-28 23:50:00,10,1998
Danialson,BLUE,OTHER,CT,1998-10-29 00:01:00,10,1998
Lihue,GREEN,OTHER,HI,1998-10-29 03:00:00,10,1998
Grand Rapids,GREEN,FIREBALL,MI,1998-10-29 03:30:00,10,1998
Dublin,,CIRCLE,CA,1998-10-29 06:30:00,10,1998
Missoula,,LIGHT,MT,1998-10-29 07:00:00,10,1998
Yuba City,GREEN BLUE,FIREBALL,CA,1998-10-29 09:35:00,10,1998
Los Alamos,,LIGHT,NM,1998-10-29 18:45:00,10,1998
Nashville,,OTHER,TN,1998-10-29 19:00:00,10,1998
Lahaina,,SPHERE,HI,1998-10-29 19:45:00,10,1998
Caldwell,,LIGHT,ID,1998-10-29 20:30:00,10,1998
Kirtland,,CHEVRON,OH,1998-10-30 20:00:00,1,1998
Anchorage,,CIRCLE,AK,1998-10-31 10:00:00,3,1998
Interstate 80,,LIGHT,OH,1998-10-31 19:00:00,3,1998
Missoula,,VARIOUS,MT,1998-10-31 19:00:00,3,1998
Kalamazoo,BLUE,FIREBALL,MI,1998-11-01 00:00:00,11,1998
Big Rapids,GREEN,FIREBALL,MI,1998-11-01 01:30:00,11,1998
Joelton,,OTHER,TN,1998-11-01 01:30:00,11,1998
Anderson,,CYLINDER,IN,1998-11-01 10:00:00,11,1998
Fort Hood,,CIRCLE,TX,1998-11-01 13:00:00,11,1998
Fort Worth,,LIGHT,TX,1998-11-01 15:00:00,11,1998
Phoenix,,CROSS,AZ,1998-11-01 16:30:00,11,1998
Great Cacapon,,SpaceShip,WV,1998-11-01 17:00:00,11,1998
Skippers,,SpaceShip,VA,1998-11-01 20:30:00,11,1998
Bailey,BLUE,FIREBALL,CO,1998-11-01 22:00:00,11,1998
West Bend,,LIGHT,WI,1998-11-01 23:59:00,11,1998
Grand Rapids,,FIREBALL,MI,1998-11-02 03:45:00,2,1998
Dallas,,FIREBALL,TX,1998-11-02 23:20:00,2,1998
Baton Rouge,ORANGE GREEN,FIREBALL,LA,1998-11-03 05:00:00,5,1998
Aurora,,LIGHT,CO,1998-11-03 14:30:00,5,1998
Ogunquit,,SPHERE,ME,1998-11-03 20:13:00,5,1998
Mesa,ORANGE YELLOW,FIREBALL,AZ,1998-11-03 21:00:00,5,1998
Belmont,YELLOW GREEN,LIGHT,CA,1998-11-03 21:58:00,5,1998
Albuquerque,,OVAL,NM,1998-11-04 15:30:00,3,1998
Plymouth,GREEN,FIREBALL,MN,1998-11-04 20:30:00,3,1998
Novato,GREEN,FIREBALL,CA,1998-11-04 22:32:00,3,1998
Punta Gorda,,SpaceShip,FL,1998-11-05 02:00:00,4,1998
Van Nuys,GREEN,SPHERE,CA,1998-11-05 18:12:00,4,1998
Burbank,,FIREBALL,CA,1998-11-05 18:15:00,4,1998
Burien,BLUE,FLASH,WA,1998-11-05 23:24:00,4,1998
Bothell,,OVAL,WA,1998-11-06 07:00:00,6,1998
Bothell,,CYLINDER,WA,1998-11-06 07:10:00,6,1998
Bend,,FORMATION,OR,1998-11-06 17:55:00,6,1998
Monroe,,CYLINDER,WA,1998-11-06 18:30:00,6,1998
Kingman,,FIREBALL,AZ,1998-11-06 21:15:00,6,1998
Barstow,,FIREBALL,CA,1998-11-06 22:00:00,6,1998
Chandler,GREEN,FIREBALL,AZ,1998-11-07 00:33:00,6,1998
Wanaque,,FIREBALL,NJ,1998-11-07 02:30:00,6,1998
Fullerton,,VARIOUS,CA,1998-11-07 17:30:00,6,1998
Cleveland,GREEN,LIGHT,GA,1998-11-07 20:44:00,6,1998
Sweetwater,,VARIOUS,TX,1998-11-07 21:30:00,6,1998
Isle of Palms,ORANGE,CONE,SC,1998-11-07 21:50:00,6,1998
Salt Lake City,BLUE,FIREBALL,UT,1998-11-08 13:07:00,2,1998
Los Angeles,,FIREBALL,CA,1998-11-08 22:30:00,2,1998
Peabody,,FIREBALL,MA,1998-11-09 01:00:00,4,1998
Pacifica,GREEN,LIGHT,CA,1998-11-09 20:00:00,4,1998
Arlington,,OTHER,TX,1998-11-09 22:00:00,4,1998
Roseville,,LIGHT,CA,1998-11-09 23:35:00,4,1998
Chicago,GREEN,SPHERE,IL,1998-11-10 00:00:00,8,1998
Maryland Height,,SPHERE,MO,1998-11-10 02:38:00,8,1998
Norman,,SPHERE,OK,1998-11-10 10:05:00,8,1998
Rancho Cucamonga,,DISK,CA,1998-11-10 11:38:00,8,1998
Overland Park,,DISK,KS,1998-11-10 18:30:00,8,1998
Federal Way,,EGG,WA,1998-11-10 18:48:00,8,1998
Fresno,,LIGHT,CA,1998-11-10 18:48:00,8,1998
DuBois,,FIREBALL,PA,1998-11-10 21:05:00,8,1998
Dayton,,FIREBALL,OH,1998-11-11 15:00:00,5,1998
Akron,ORANGE,FIREBALL,OH,1998-11-11 19:45:00,5,1998
Wheatridge,,SpaceShip,CO,1998-11-11 20:23:00,5,1998
Bowling Green,,CIRCLE,KY,1998-11-11 21:45:00,5,1998
Oxford,,SpaceShip,MS,1998-11-11 21:45:00,5,1998
Louisville,,CIRCLE,KY,1998-11-12 00:00:00,9,1998
Bend,,DISK,OR,1998-11-12 02:00:00,9,1998
Casper,,SpaceShip,WY,1998-11-12 02:25:00,9,1998
John Day,ORANGE,FIREBALL,OR,1998-11-12 18:30:00,9,1998
Blaine,GREEN,FLASH,WA,1998-11-12 19:30:00,9,1998
Towanda,BLUE,SpaceShip,PA,1998-11-12 21:00:00,9,1998
Waverly,GREEN,FIREBALL,NE,1998-11-12 21:00:00,9,1998
Lakewood,,SpaceShip,CO,1998-11-12 21:30:00,9,1998
Lawton,,OTHER,OK,1998-11-12 22:40:00,9,1998
Maybrook,,LIGHT,NY,1998-11-13 01:30:00,1,1998
Marion,,CYLINDER,IA,1998-11-14 13:30:00,6,1998
Denver,,LIGHT,CO,1998-11-14 17:24:00,6,1998
Mesa,BLUE,FLASH,AZ,1998-11-14 19:00:00,6,1998
Mattawa,,DISK,WA,1998-11-14 19:30:00,6,1998
Fenn,,FIREBALL,ID,1998-11-14 21:15:00,6,1998
Livonia,GREEN,FIREBALL,MI,1998-11-14 21:20:00,6,1998
Richland Center,,OTHER,WI,1998-11-15 00:00:00,12,1998
San Diego,GREEN,FIREBALL,CA,1998-11-15 00:15:00,12,1998
Windsor,,LIGHT,VA,1998-11-15 01:30:00,12,1998
I-35,,DISK,TX,1998-11-15 18:49:00,12,1998
Edison,,DISK,NJ,1998-11-15 20:00:00,12,1998
Madison,GREEN,LIGHT,WI,1998-11-15 20:00:00,12,1998
Wheat Ridge,,DIAMOND,CO,1998-11-15 20:30:00,12,1998
Cranston,,LIGHT,RI,1998-11-15 21:00:00,12,1998
Justice,,LIGHT,IL,1998-11-15 21:00:00,12,1998
Atlanta,,LIGHT,GA,1998-11-15 22:00:00,12,1998
Camp Lejeune,,SpaceShip,NC,1998-11-15 22:00:00,12,1998
Ellensburg,,FIREBALL,WA,1998-11-15 23:00:00,12,1998
Austin,,SpaceShip,TX,1998-11-16 02:30:00,14,1998
Kirksville,RED,OTHER,MO,1998-11-16 02:30:00,14,1998
Las Vegas,GREEN,LIGHT,NV,1998-11-16 04:45:00,14,1998
Belgrade,,CIRCLE,MO,1998-11-16 05:00:00,14,1998
Drumright,,FIREBALL,OK,1998-11-16 05:11:00,14,1998
Austin,,FIREBALL,TX,1998-11-16 06:40:00,14,1998
Darien,,OTHER,WI,1998-11-16 18:00:00,14,1998
Baraboo,,SpaceShip,WI,1998-11-16 21:00:00,14,1998
Pittsburgh,,OTHER,PA,1998-11-16 21:00:00,14,1998
Las Vegas,,FIREBALL,NV,1998-11-16 21:30:00,14,1998
Greeley,,SpaceShip,CO,1998-11-16 22:11:00,14,1998
Auburn,ORANGE,LIGHT,WA,1998-11-16 22:40:00,14,1998
Austin,,LIGHT,TX,1998-11-16 23:00:00,14,1998
Kansas City,ORANGE,OTHER,KS,1998-11-16 23:41:00,14,1998
Alva,,SpaceShip,OK,1998-11-17 01:30:00,20,1998
Joshua Tree National Park,,SPHERE,CA,1998-11-17 01:30:00,20,1998
Manitowoc Rapids,,FIREBALL,WI,1998-11-17 02:00:00,20,1998
Joshua Tree National Park,,LIGHT,CA,1998-11-17 04:00:00,20,1998
South Lake Tahoe,,DISK,CA,1998-11-17 04:30:00,20,1998
Tampa,,SpaceShip,FL,1998-11-17 04:30:00,20,1998
Sacramento,,CIRCLE,CA,1998-11-17 04:35:00,20,1998
Davenport,,SpaceShip,IA,1998-11-17 05:00:00,20,1998
Gila Bend,,FLASH,AZ,1998-11-17 05:50:00,20,1998
Port Charlotte,,FIREBALL,FL,1998-11-17 17:35:00,20,1998
Chico,,SpaceShip,CA,1998-11-17 18:30:00,20,1998
Los Banos,,LIGHT,CA,1998-11-17 19:00:00,20,1998
Sherwood,,SpaceShip,AR,1998-11-17 19:25:00,20,1998
Little Rock,,CIRCLE,AR,1998-11-17 19:50:00,20,1998
Cleveland,,EGG,OH,1998-11-17 21:00:00,20,1998
Knoxville,,FORMATION,TN,1998-11-17 21:03:00,20,1998
Goodyear,YELLOW,LIGHT,AZ,1998-11-17 21:30:00,20,1998
Port Orange,,SpaceShip,FL,1998-11-17 21:30:00,20,1998
Morristown,RED GREEN BLUE,VARIOUS,TN,1998-11-17 23:30:00,20,1998
Tavares,,OTHER,FL,1998-11-17 23:55:00,20,1998
Gainesville,,SpaceShip,FL,1998-11-18 00:00:00,5,1998
New Kent,,SpaceShip,VA,1998-11-18 01:40:00,5,1998
North Little Rock,,SpaceShip,AR,1998-11-18 01:55:00,5,1998
Kodiak,,LIGHT,AK,1998-11-18 18:00:00,5,1998
Dunns Mills,,DISK,NJ,1998-11-18 21:15:00,5,1998
New York City,,CIRCLE,NY,1998-11-19 03:00:00,6,1998
Montverde,,OVAL,FL,1998-11-19 07:00:00,6,1998
Auburn,,SPHERE,CA,1998-11-19 15:45:00,6,1998
Phoenix,ORANGE,LIGHT,AZ,1998-11-19 21:00:00,6,1998
Surprise,,FORMATION,AZ,1998-11-19 21:30:00,6,1998
Phoenix,YELLOW,LIGHT,AZ,1998-11-19 22:15:00,6,1998
Brentwood,ORANGE GREEN,FIREBALL,CA,1998-11-20 01:30:00,7,1998
Spokane,,SpaceShip,WA,1998-11-20 03:30:00,7,1998
Irvine,,OVAL,CA,1998-11-20 11:45:00,7,1998
Moline,GREEN,FIREBALL,IL,1998-11-20 19:30:00,7,1998
Aurora,,SpaceShip,CO,1998-11-20 20:00:00,7,1998
Seattle,RED GREEN BLUE,FLASH,WA,1998-11-20 22:25:00,7,1998
Hampton,,SpaceShip,TN,1998-11-20 22:30:00,7,1998
Harrison,,SPHERE,MI,1998-11-21 15:00:00,3,1998
Helena,,CIRCLE,AR,1998-11-21 20:45:00,3,1998
Avon,ORANGE,LIGHT,NC,1998-11-21 22:00:00,3,1998
Boise,,DISK,ID,1998-11-22 18:30:00,4,1998
West Palm Beach,,OTHER,FL,1998-11-22 19:00:00,4,1998
Cheney,,SPHERE,WA,1998-11-22 19:32:00,4,1998
Vashon Island,,OTHER,WA,1998-11-22 20:00:00,4,1998
Coon Rapids,,OVAL,MN,1998-11-23 18:05:00,6,1998
Sycamore,,SpaceShip,IL,1998-11-23 19:00:00,6,1998
Hartford,,CIRCLE,CT,1998-11-23 20:08:00,6,1998
Battle Ground,,LIGHT,WA,1998-11-23 20:30:00,6,1998
Carbondale,,VARIOUS,IL,1998-11-23 22:30:00,6,1998
Tulsa,RED BLUE,LIGHT,OK,1998-11-23 22:45:00,6,1998
Sandpoint,,LIGHT,ID,1998-11-24 01:30:00,9,1998
Alton Bay,,LIGHT,NH,1998-11-24 05:00:00,9,1998
Calhoun,,LIGHT,GA,1998-11-24 05:05:00,9,1998
Valdosta,RED,CIRCLE,GA,1998-11-24 18:25:00,9,1998
Kenton,,FORMATION,OH,1998-11-24 19:15:00,9,1998
Kenton,,FORMATION,OH,1998-11-24 19:30:00,9,1998
Ashland,,SpaceShip,OH,1998-11-24 21:00:00,9,1998
Mechanicsburg,RED,LIGHT,PA,1998-11-24 22:30:00,9,1998
Bitterroot Valley,,LIGHT,MT,1998-11-24 23:15:00,9,1998
Louisville,,SPHERE,KY,1998-11-25 17:30:00,6,1998
Copperas Cove,,SpaceShip,TX,1998-11-25 18:55:00,6,1998
Tigard,RED,FIREBALL,OR,1998-11-25 20:05:00,6,1998
Lee's Summit,,OTHER,MO,1998-11-25 21:15:00,6,1998
Gulf Shores,,FLASH,AL,1998-11-25 21:24:00,6,1998
Springtown,,LIGHT,PA,1998-11-25 21:30:00,6,1998
Lowell,,CIRCLE,MA,1998-11-26 10:00:00,5,1998
McKinney,,CYLINDER,TX,1998-11-26 14:00:00,5,1998
Hoffman Estates,,LIGHT,IL,1998-11-26 20:30:00,5,1998
Fall River,,LIGHT,KS,1998-11-26 22:00:00,5,1998
San Diego,,OVAL,CA,1998-11-26 22:30:00,5,1998
Manistee,GREEN,FIREBALL,MI,1998-11-27 05:00:00,8,1998
Charleston,,FIREBALL,WV,1998-11-27 15:35:00,8,1998
Southbury,,SpaceShip,CT,1998-11-27 18:30:00,8,1998
Windsor,,SPHERE,CA,1998-11-27 20:15:00,8,1998
Columbia,,FIREBALL,TN,1998-11-27 20:30:00,8,1998
Springfield,GREEN,LIGHT,MO,1998-11-27 20:30:00,8,1998
Standale,,SpaceShip,MI,1998-11-27 20:45:00,8,1998
Katy,,FIREBALL,TX,1998-11-27 21:30:00,8,1998
Salt Lake City,,SpaceShip,UT,1998-11-28 16:30:00,5,1998
Long Beach,,SpaceShip,CA,1998-11-28 16:45:00,5,1998
Dunkirk,,OTHER,MD,1998-11-28 17:30:00,5,1998
Barto,RED,FIREBALL,PA,1998-11-28 20:42:00,5,1998
Douglasville,,CIRCLE,GA,1998-11-28 21:00:00,5,1998
Hampstead,RED ORANGE YELLOW,FIREBALL,NC,1998-11-29 01:50:00,3,1998
Palm Desert,,FIREBALL,CA,1998-11-29 19:10:00,3,1998
West Memphis,,SpaceShip,AR,1998-11-29 19:55:00,3,1998
Rockford,,SpaceShip,IL,1998-11-30 01:00:00,4,1998
Huachuca City,,CIRCLE,AZ,1998-11-30 05:32:00,4,1998
Latrobe,,LIGHT,CA,1998-11-30 20:00:00,4,1998
Phoenix,,LIGHT,AZ,1998-11-30 21:45:00,4,1998
Houston,GREEN,FIREBALL,TX,1998-12-01 04:30:00,8,1998
Lehigh Acres,,FLASH,FL,1998-12-01 06:09:00,8,1998
Traverse City,,FIREBALL,MI,1998-12-01 06:30:00,8,1998
Glenhaven,,CROSS,CA,1998-12-01 07:10:00,8,1998
Culpeper,,OVAL,VA,1998-12-01 17:50:00,8,1998
Westfield,YELLOW,FIREBALL,IN,1998-12-01 18:00:00,8,1998
Fort Wayne,,OTHER,IN,1998-12-01 21:20:00,8,1998
Miami,,LIGHT,FL,1998-12-01 23:15:00,8,1998
Columbus,,DISK,OH,1998-12-02 17:00:00,1,1998
San Saba County,,FORMATION,TX,1998-12-03 18:00:00,5,1998
Albany,,OVAL,NY,1998-12-03 18:15:00,5,1998
Albany,,LIGHT,NY,1998-12-03 18:30:00,5,1998
Kirkland,,SpaceShip,WA,1998-12-03 23:30:00,5,1998
Kirkland,,SpaceShip,WA,1998-12-03 23:30:00,5,1998
Stanford,,LIGHT,CA,1998-12-04 22:25:00,1,1998
Atlanta,,FIREBALL,GA,1998-12-05 03:00:00,5,1998
Marina del Rey,,LIGHT,CA,1998-12-05 17:02:00,5,1998
Glendale,,OTHER,AZ,1998-12-05 18:15:00,5,1998
Las Vegas,,LIGHT,NV,1998-12-05 20:30:00,5,1998
Pahrump,GREEN,CIRCLE,NV,1998-12-05 21:21:00,5,1998
Columbus,,FIREBALL,TX,1998-12-06 00:30:00,9,1998
Washington C.H.,GREEN,FIREBALL,OH,1998-12-06 07:30:00,9,1998
Rome,RED BLUE,FIREBALL,GA,1998-12-06 08:30:00,9,1998
Las Vegas,,SpaceShip,NV,1998-12-06 18:25:00,9,1998
Phoenix,,CYLINDER,AZ,1998-12-06 18:45:00,9,1998
Santa Rosa,RED,LIGHT,CA,1998-12-06 19:40:00,9,1998
